TRINITY_DN10006_c0_g1_i6	8.03e-46	187
TRINITY_DN10006_c0_g1_i8	8.04e-46	187
TRINITY_DN10006_c0_g2_i1	9.29e-99	363
TRINITY_DN10006_c1_g1_i1	4.43e-96	353
TRINITY_DN100150_c0_g1_i1	0.0	1312
TRINITY_DN100155_c0_g1_i1	5.80e-108	390
TRINITY_DN100411_c1_g1_i1	0.0	1393
TRINITY_DN100527_c0_g1_i1	0.0	2041
TRINITY_DN100583_c0_g1_i1	0.0	1602
TRINITY_DN100608_c0_g1_i1	0.0	1426
TRINITY_DN100633_c0_g1_i1	0.0	1321
TRINITY_DN10074_c0_g2_i1	0.0	1290
TRINITY_DN10074_c0_g4_i1	1.04e-93	344
TRINITY_DN10074_c0_g5_i1	1.68e-54	213
TRINITY_DN10074_c0_g5_i2	0.0	1421
TRINITY_DN100_c0_g1_i5	2.44e-79	296
TRINITY_DN100_c1_g1_i1	0.0	905
TRINITY_DN100_c1_g1_i12	0.0	645
TRINITY_DN100_c1_g1_i2	3.74e-68	259
TRINITY_DN100_c1_g1_i4	1.77e-180	634
TRINITY_DN100_c1_g1_i5	6.19e-43	174
TRINITY_DN100_c1_g1_i6	9.06e-68	257
TRINITY_DN100_c1_g1_i7	3.05e-53	209
TRINITY_DN100_c1_g1_i8	6.85e-59	228
TRINITY_DN100_c1_g2_i1	1.10e-78	294
TRINITY_DN100_c2_g1_i1	2.67e-54	213
TRINITY_DN100_c2_g1_i2	8.40e-24	111
TRINITY_DN101168_c0_g1_i1	3.74e-11	69.4
TRINITY_DN101558_c0_g1_i1	0.0	689
TRINITY_DN101815_c0_g1_i1	0.0	1345
TRINITY_DN101817_c0_g1_i1	0.0	898
TRINITY_DN101831_c0_g1_i1	0.0	1164
TRINITY_DN101986_c0_g1_i1	0.0	994
TRINITY_DN102384_c0_g1_i1	0.0	1576
TRINITY_DN102430_c0_g1_i1	1.06e-120	433
TRINITY_DN102609_c0_g1_i1	0.0	1683
TRINITY_DN102761_c0_g1_i1	0.0	1836
TRINITY_DN103167_c0_g1_i1	0.0	1218
TRINITY_DN103206_c0_g1_i1	4.22e-145	516
TRINITY_DN103235_c0_g1_i1	0.0	798
TRINITY_DN103416_c0_g1_i1	0.0	769
TRINITY_DN103721_c0_g1_i1	0.0	1042
TRINITY_DN1038_c0_g1_i1	9.93e-40	165
TRINITY_DN1038_c0_g1_i2	0.0	680
TRINITY_DN1038_c0_g3_i2	1.06e-39	165
TRINITY_DN104256_c0_g1_i1	0.0	1842
TRINITY_DN104576_c0_g1_i1	0.0	944
TRINITY_DN104632_c0_g1_i1	0.0	1421
TRINITY_DN104651_c0_g1_i1	0.0	673
TRINITY_DN104862_c0_g1_i1	0.0	1790
TRINITY_DN105483_c0_g1_i1	1.64e-177	623
TRINITY_DN105565_c0_g1_i1	2.09e-80	300
TRINITY_DN105654_c0_g1_i1	0.0	1129
TRINITY_DN105711_c0_g1_i1	0.0	2145
TRINITY_DN106399_c0_g1_i1	0.0	848
TRINITY_DN106517_c0_g1_i1	1.23e-48	195
TRINITY_DN106588_c0_g1_i1	0.0	850
TRINITY_DN106672_c0_g1_i1	0.0	1563
TRINITY_DN106700_c0_g1_i1	0.0	787
TRINITY_DN10696_c0_g2_i1	0.0	665
