TRINITY_DN10006_c0_g1_i12	4.40e-42	176
TRINITY_DN10006_c0_g1_i5	3.40e-43	178
TRINITY_DN100511_c0_g1_i1	0.0	953
TRINITY_DN10129_c0_g1_i3	0.0	1075
TRINITY_DN10144_c0_g1_i1	1.17e-97	359
TRINITY_DN1017_c0_g1_i3	0.0	889
TRINITY_DN1017_c0_g1_i4	0.0	1153
TRINITY_DN1017_c0_g1_i5	0.0	998
TRINITY_DN101829_c0_g1_i1	0.0	887
TRINITY_DN101992_c0_g1_i1	2.34e-118	429
TRINITY_DN102259_c0_g1_i1	8.19e-135	483
TRINITY_DN10254_c0_g1_i1	1.01e-156	555
TRINITY_DN10254_c0_g1_i2	0.0	728
TRINITY_DN10254_c0_g1_i3	0.0	728
TRINITY_DN103421_c0_g1_i1	1.17e-144	514
TRINITY_DN1038_c0_g1_i3	0.0	4324
TRINITY_DN1038_c0_g3_i1	0.0	4314
TRINITY_DN104756_c0_g1_i1	4.37e-172	606
TRINITY_DN104910_c0_g1_i1	1.04e-80	302
TRINITY_DN10639_c0_g2_i1	1.54e-30	135
TRINITY_DN10696_c0_g2_i2	4.14e-101	370
TRINITY_DN1069_c1_g1_i2	0.0	1386
TRINITY_DN1074_c0_g1_i1	1.22e-173	612
TRINITY_DN1074_c0_g1_i3	1.21e-173	612
TRINITY_DN1074_c0_g2_i2	1.18e-173	612
TRINITY_DN107913_c0_g1_i1	1.50e-107	390
TRINITY_DN108516_c0_g1_i1	1.39e-68	263
TRINITY_DN10877_c0_g1_i1	0.0	1134
TRINITY_DN10877_c0_g1_i2	3.60e-39	165
TRINITY_DN10956_c0_g1_i1	4.32e-170	599
TRINITY_DN10956_c1_g1_i1	0.0	848
TRINITY_DN10956_c2_g1_i1	2.86e-131	470
TRINITY_DN1098_c0_g1_i1	0.0	865
TRINITY_DN1098_c0_g1_i4	0.0	917
TRINITY_DN1098_c0_g1_i5	0.0	865
TRINITY_DN1098_c0_g1_i6	0.0	867
TRINITY_DN1098_c0_g2_i2	0.0	894
TRINITY_DN1098_c0_g2_i4	8.10e-151	536
TRINITY_DN11006_c0_g1_i2	0.0	765
TRINITY_DN11006_c0_g2_i1	0.0	1081
TRINITY_DN11006_c0_g2_i3	0.0	765
TRINITY_DN11007_c0_g1_i1	0.0	1916
TRINITY_DN110960_c0_g1_i1	1.16e-171	604
TRINITY_DN111205_c0_g1_i1	0.0	651
TRINITY_DN11135_c0_g1_i1	5.45e-118	425
TRINITY_DN11135_c0_g2_i2	5.91e-164	579
TRINITY_DN11135_c0_g2_i3	9.41e-126	451
TRINITY_DN11135_c0_g3_i1	3.57e-120	433
TRINITY_DN11173_c0_g1_i1	2.06e-157	556
TRINITY_DN1117_c0_g1_i1	0.0	702
TRINITY_DN1117_c0_g1_i2	0.0	665
TRINITY_DN1117_c0_g1_i3	0.0	721
TRINITY_DN1117_c0_g1_i4	0.0	676
TRINITY_DN11230_c1_g1_i1	0.0	1967
TRINITY_DN11260_c0_g1_i3	2.35e-21	106
TRINITY_DN1128_c0_g1_i1	1.01e-38	163
TRINITY_DN114598_c0_g1_i1	9.48e-146	518
TRINITY_DN11467_c0_g1_i1	2.11e-34	148
TRINITY_DN11467_c0_g1_i2	2.16e-34	148
TRINITY_DN114757_c0_g1_i1	4.29e-172	606
TRINITY_DN114_c2_g1_i2	0.0	3293
TRINITY_DN115714_c0_g1_i1	1.37e-102	374
TRINITY_DN116039_c0_g1_i1	4.80e-133	475
TRINITY_DN116868_c0_g1_i1	7.96e-131	468
TRINITY_DN1183_c0_g1_i1	0.0	1565
TRINITY_DN1183_c0_g1_i2	0.0	1565
TRINITY_DN1183_c0_g1_i3	0.0	1613
TRINITY_DN1183_c0_g1_i4	0.0	1613
TRINITY_DN1183_c0_g1_i5	0.0	1670
TRINITY_DN119140_c0_g1_i1	1.84e-38	163
TRINITY_DN119350_c0_g1_i1	0.0	654
TRINITY_DN1199_c0_g1_i1	2.77e-100	366
TRINITY_DN1199_c1_g3_i11	3.97e-23	111
TRINITY_DN120_c0_g1_i10	1.62e-163	579
TRINITY_DN120_c0_g1_i11	0.0	678
TRINITY_DN120_c0_g1_i12	5.53e-69	265
